OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
428,48,201,400000,6662,2246,6662,5095,1567,1539,495,159,16,855,0,14,28,4537,3298,1239,1216,441,121,13,633,0,8,23,2246,1986,260,44906086.47,33458.73384
429,48,201,400000,4618,1230,4618,4121,497,482,446,20,8,8,0,0,15,3062,2641,421,413,389,12,6,6,0,0,8,1230,1163,67,62545303.24,38487.86386
430,48,201,400000,2638,863,2638,2347,291,284,239,24,0,18,0,3,7,1771,1519,252,248,210,23,0,14,0,1,4,863,777,86,15220800.01,18825.55529
431,48,201,400000,4537,1502,4537,4053,484,470,263,170,1,35,0,1,14,3100,2677,423,413,235,147,0,31,0,0,10,1502,1286,216,16349581.85,22252.76517
432,48,201,400000,3849,1622,3849,2617,1232,1212,534,323,7,346,0,2,20,2722,1719,1003,991,488,225,7,270,0,1,12,1622,1333,289,37150997.56,35068.61404
433,48,201,400000,5367,1590,5367,4906,461,440,374,21,2,41,0,2,21,3617,3229,388,373,320,17,2,33,0,1,15,1590,1499,91,31459408.44,24657.77959
434,48,201,400000,7394,2486,7394,5487,1907,1871,954,788,12,104,8,5,36,5040,3546,1494,1479,811,559,9,89,8,3,15,2486,2178,308,24942411.27,23762.94981
435,48,201,400000,7508,2662,7508,5722,1786,1741,1200,413,4,122,0,2,45,5111,3637,1474,1450,1058,293,4,93,0,2,24,2662,2265,397,42748882.05,26310.32956
436,48,201,400000,7397,2717,7397,4741,2656,2598,1286,795,16,474,10,17,58,5142,3034,2108,2073,1085,597,10,365,6,10,35,2717,2536,181,59844339.31,33038.69249
437,48,201,400000,4284,1517,4284,3503,781,764,503,219,6,30,0,6,17,2692,2122,570,563,417,119,3,20,0,4,7,1517,1261,256,32002750.34,27602.6093
438,48,201,400000,5546,2151,5546,4230,1316,1293,688,544,15,45,0,1,23,3732,2715,1017,1005,612,344,10,38,0,1,12,2151,1778,373,16774335.51,18902.30752
439,48,201,400000,4383,1280,4383,3797,586,574,515,36,1,12,0,10,12,2955,2456,499,487,446,23,1,12,0,5,12,1280,1199,81,22234121.48,22722.20839
440,48,201,400000,4248,1419,4248,3582,666,656,578,47,11,20,0,0,10,2889,2323,566,560,511,27,8,14,0,0,6,1419,1199,220,21256957.28,23175.86693
441,48,201,400000,2985,969,2985,2669,316,307,215,77,8,6,0,1,9,1860,1624,236,233,176,44,7,5,0,1,3,969,895,74,10130610.75,15720.28602
442,48,201,400000,6785,2049,6785,5255,1530,1509,1385,75,12,33,0,4,21,4632,3306,1326,1310,1216,51,10,30,0,3,16,2049,1945,104,31077605.62,29899.28422
443,48,201,400000,3049,1011,3049,2275,774,764,708,25,4,19,1,7,10,2150,1449,701,694,649,22,4,13,1,5,7,1011,954,57,20850533.7,20969.19726
444,48,201,400000,4108,1156,4108,3614,494,489,416,49,4,15,0,5,5,2777,2346,431,430,380,32,2,12,0,4,1,1156,1100,56,14081473.29,16665.84101
445,48,201,400000,5855,1665,5855,4899,956,934,861,49,6,16,0,2,22,3836,3018,818,806,749,38,4,13,0,2,12,1665,1549,116,26565581.63,27064.6904
446,48,201,400000,4258,1827,4258,3770,488,474,291,156,4,19,0,4,14,2663,2323,340,331,220,89,4,16,0,2,9,1827,1284,543,7713536.913,16518.71103
447,48,201,400000,4101,1405,4101,3333,768,739,657,47,7,24,0,4,29,2773,2127,646,626,563,34,7,18,0,4,20,1405,1189,216,23428533.91,27317.44466
448,48,201,400000,1688,568,1688,1434,254,246,224,15,1,6,0,0,8,1119,910,209,203,188,8,1,6,0,0,6,568,484,84,10312545.38,14227.58994
449,48,201,400000,5329,1801,5329,3318,2011,1974,1863,68,11,27,0,5,37,3681,2046,1635,1616,1533,51,8,22,0,2,19,1801,1722,79,27218298.33,25971.62147
450,48,201,400000,7400,2315,7400,5337,2063,2025,1881,110,9,15,4,6,38,4909,3265,1644,1614,1524,63,7,14,3,3,30,2315,2143,172,22263372.25,22765.94985
451,48,201,400000,6414,1842,6414,5220,1194,1177,1124,27,12,8,0,6,17,4214,3236,978,969,935,13,12,4,0,5,9,1842,1709,133,33552771.17,26120.85748
452,48,201,400000,4186,1276,4186,3543,643,631,554,47,5,13,4,8,12,2709,2173,536,529,475,33,5,11,2,3,7,1276,1156,120,17882441.09,21236.00492
453,48,201,400000,6318,2275,6318,5420,898,866,717,113,6,20,2,8,32,3974,3257,717,703,600,73,6,19,2,3,14,2275,2011,264,15057737.1,17066.25219
454,48,201,400000,3333,1262,3333,2734,599,583,415,144,8,12,1,3,16,2159,1722,437,429,320,90,8,8,1,2,8,1262,1014,248,22144743.11,26175.26031
455,48,201,400000,5612,1764,5612,4067,1545,1511,1356,109,16,27,0,3,34,3741,2441,1300,1278,1175,67,11,22,0,3,22,1764,1651,113,22668053.32,20007.02101
456,48,201,400000,3510,1233,3510,2640,870,842,699,100,9,28,4,2,28,2392,1672,720,704,584,82,9,23,4,2,16,1233,1113,120,14101620.37,17029.9456
457,48,201,400000,7431,2276,7431,5743,1688,1652,1541,72,13,18,3,5,36,4859,3459,1400,1378,1297,50,9,15,3,4,22,2276,2136,140,21412442.71,22801.40806
458,48,201,400000,5377,2076,5377,4129,1248,1217,968,206,6,33,0,4,31,3409,2473,936,922,766,125,6,22,0,3,14,2076,1705,371,28759679.02,23834.96476
459,48,201,400000,8378,3437,8378,4067,4311,4242,3724,254,16,238,0,10,69,6229,2630,3599,3561,3181,173,10,190,0,7,38,3437,3236,201,54455542.2,37951.55176
460,48,201,400000,4158,2044,4158,1385,2773,2722,2395,156,15,147,1,8,51,3440,1002,2438,2401,2140,125,13,116,1,6,37,2044,1857,187,24932856.83,19784.50758
461,48,201,400000,3219,1306,3219,1370,1849,1810,1643,68,10,82,2,5,39,2396,866,1530,1509,1378,53,7,67,2,2,21,1306,1232,74,11399556.01,14189.31142
462,48,201,400000,3896,1267,3896,2398,1498,1472,1418,31,6,14,0,3,26,2775,1494,1281,1266,1226,21,3,13,0,3,15,1267,1210,57,14373105.29,17799.90784
463,48,201,400000,4844,1693,4844,3142,1702,1683,1580,81,5,12,0,5,19,3362,1914,1448,1437,1370,47,5,11,0,4,11,1693,1596,97,25959146.19,21031.79056
464,48,201,400000,3875,1670,3875,2297,1578,1544,1393,123,15,12,1,0,34,2755,1420,1335,1314,1214,77,11,11,1,0,21,1670,1525,145,30725055.4,22790.295
465,48,201,400000,5561,2027,5561,2253,3308,3279,2774,61,12,418,6,8,29,4169,1476,2693,2676,2292,51,10,312,5,6,17,2027,1947,80,86918917.71,55748.02081
466,48,201,400000,5540,1836,5540,4724,816,802,677,62,8,43,8,4,14,3702,3006,696,686,592,47,7,34,4,2,10,1836,1588,248,247132375.7,82781.77273
467,48,201,400000,1647,471,1647,1550,97,96,58,24,7,7,0,0,1,1101,1031,70,70,49,11,4,6,0,0,0,471,437,34,78905338.14,43384.17905
468,48,201,400000,8313,2332,8313,4744,3569,3531,88,3347,1,81,0,14,38,5608,3005,2603,2586,74,2427,1,77,0,7,17,2332,2228,104,27689501.97,21914.08037
469,48,201,400000,4243,1370,4243,2205,2038,2009,145,1824,6,31,0,3,29,2938,1384,1554,1538,122,1380,6,29,0,1,16,1370,1280,90,47794296.89,29424.38252
470,48,201,400000,7169,1844,7169,5011,2158,2113,224,1617,10,252,2,8,45,4511,3044,1467,1442,159,1074,2,202,2,3,25,1844,1798,46,34661128.37,23833.96138
471,48,201,400000,5527,1785,5527,3137,2390,2353,220,2087,9,29,1,7,37,3830,2013,1817,1793,193,1568,5,22,1,4,24,1785,1566,219,66516472.95,33766.10679
472,48,201,400000,4061,1531,4061,1989,2072,2052,227,1789,5,30,0,1,20,2815,1238,1577,1567,216,1323,3,25,0,0,10,1531,1377,154,56267157.6,34793.58995
473,48,201,400000,4663,1502,4663,2499,2164,2141,169,1931,4,24,0,13,23,3224,1617,1607,1599,149,1421,4,23,0,2,8,1502,1421,81,47069147.39,27647.92148
474,48,201,400000,4121,1204,4121,2360,1761,1735,144,1574,6,5,0,6,26,2807,1475,1332,1311,118,1181,5,5,0,2,21,1204,1132,72,29417665.4,26499.95784
475,48,201,400000,6424,2065,6424,2491,3933,3895,231,3569,10,81,0,4,38,4528,1639,2889,2864,203,2582,7,70,0,2,25,2065,1933,132,39900427.3,26711.21543
476,48,201,400000,7796,2207,7796,5079,2717,2675,243,2342,9,76,2,3,42,5076,3175,1901,1878,199,1609,4,62,2,2,23,2207,2080,127,67309854.3,36797.30052
477,48,201,400000,8571,3176,8571,2291,6280,6190,772,5107,12,272,6,21,90,5988,1497,4491,4439,667,3528,7,216,5,16,52,3176,2976,200,341953827.9,111310.6656
