City,Tract,Population,Male,Female,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,Less_than_18_years,18_to_64_years,65_years_and_over,Married_Couple,Male_Head,Female_Head,Non_Family,High_School_Graduate,Bachelor_Degree_or_Higher,Own,Rent,Median_Household_Income,Persons_Below_Poverty_Level_Income,Drove_Alone,Carpooled,Public_Transportation,Work_at_Home,Mean_Travel_Time_(minutes),No_Vehicle,1_Vehicle,2_Vehicles,3+_Vehicles,White,Black,Hispanic,American_Indian,Asian,Pacific_Islander,Other,More_than_one_race,English_Only,Other_than_English,Speak_English_less_than_very_well,Spanish_-_Speak_English_less_than_very_well,With_a_Disability,Under_18_w/Disability,18_to_64_w/Disability,65_and_over_w/Disability,Location_1
Boulder,30,2197,49.60%,50.40%,18.40%,5.80%,6.10%,7.20%,5.60%,25.30%,11.60%,14.40%,0.40%,1.70%,3.30%,0.10%,0%,34.70%,61.90%,3.40%,54.20%,1%,13.90%,30.80%,97.70%,23.70%,27.90%,72.10%,"$62,885.00 ",9.10%,81.90%,16.80%,0%,0.40%,26.9,1.30%,27.50%,58.50%,12.70%,60.90%,7.60%,21.70%,1.60%,1.60%,2%,0%,4.70%,87.50%,12.50%,0.80%,0.20%,2.30%,1%,3.10%,0%,"(36.319342800000001, -115.3195163)"
Boulder,30,7956,53.70%,46.30%,10.60%,11%,5.40%,5.40%,7.30%,20.90%,13.80%,12.50%,5.60%,2.70%,2.90%,1.70%,0%,31.30%,64.10%,4.60%,57.60%,5.80%,12.50%,24.10%,91.40%,36.30%,64.40%,35.60%,"$73,576.00 ",7.20%,82.60%,13.10%,1.10%,2.60%,31.3,0%,23.10%,63%,14%,62.60%,7.80%,19.30%,0.40%,4.70%,0.80%,0%,4.40%,83.70%,16.30%,4.20%,3.20%,6%,3.10%,5.20%,37.10%,"(36.302043900000001, -115.3156039)"
Boulder,30,7953,51.60%,48.40%,10.10%,5.90%,6.60%,3.70%,9.30%,25.40%,16.30%,11.10%,8.40%,1.10%,1.90%,0.20%,0%,26.30%,71.60%,2.10%,38.30%,2%,16.10%,43.60%,98.20%,37.30%,40.50%,59.50%,"$60,087.00 ",9.90%,78.10%,16.80%,1.80%,3.30%,27.3,4.20%,51.70%,36.90%,7.20%,59.90%,6.90%,14%,0.50%,9.90%,0.20%,2.60%,6%,75.60%,24.40%,8%,3.40%,6.60%,1.60%,7.60%,35.60%,"(36.286567499999997, -115.3288135)"
Boulder,30,6,48.50%,51.50%,7%,8%,8.20%,9.60%,7%,11.20%,12.90%,16.70%,7.10%,6%,5.50%,0.70%,0%,29.10%,64.60%,6.30%,60.60%,6.20%,12.90%,20.20%,93.60%,23.80%,79.90%,20.10%,"$106,680.00 ",6%,79.70%,7.90%,0.70%,10.40%,25.7,0.50%,16.30%,45.70%,37.60%,77.10%,0.40%,14.60%,0.60%,2.80%,0%,0.30%,4.20%,88.60%,11.40%,1.30%,0.90%,5.30%,2.20%,5.70%,15.10%,"(36.264692400000001, -115.30277769999999)"
Boulder,30,4219,49%,51%,6.40%,4.90%,9.40%,7.70%,11%,17.10%,13.20%,12.40%,5.40%,5.20%,2.80%,3.10%,1.40%,27.10%,65.60%,7.30%,53.50%,2.40%,10.50%,33.60%,93.80%,29.80%,70.50%,29.50%,"$90,539.00 ",1.60%,84.70%,8.50%,2.10%,2.20%,23.1,3.10%,34%,33.40%,29.50%,54%,13.30%,16.50%,0.30%,14.20%,0%,0%,1.60%,82.50%,17.50%,3.30%,0.40%,4.90%,0%,2.80%,41.50%,"(36.287470300000003, -115.3040903)"
Boulder,30,4314,51.50%,48.50%,11%,6.50%,4.60%,9.80%,12.70%,20.10%,12.80%,9.90%,5.70%,3.70%,1.50%,0.90%,0.90%,27.70%,69.10%,3.20%,39.30%,6.90%,14.30%,39.40%,94.70%,34.40%,57.90%,42.10%,"$63,571.00 ",9%,90.30%,5.90%,2.10%,0%,26.6,2.10%,48.20%,40.30%,9.40%,55.40%,10.50%,19.20%,0%,11.40%,0%,0.50%,3%,62.30%,37.70%,4.10%,3.20%,3.90%,1.10%,4.30%,20%,"(36.289956500000002, -115.2923985)"
Boulder,30,3236,56.80%,43.20%,16.40%,4.90%,3.20%,6.10%,8.10%,28.60%,13.50%,8.30%,1.30%,2.70%,6.40%,0.50%,0%,27.20%,65.80%,7%,38.80%,7.40%,8.90%,45%,98.80%,23.80%,33.30%,66.70%,"$60,227.00 ",7.70%,73.20%,17.90%,2%,4.40%,26.8,4.50%,29.80%,46.30%,19.40%,43.50%,33.60%,9.20%,0.60%,11.50%,0.30%,0%,1.30%,83.70%,16.30%,3.40%,0.20%,4.50%,0.70%,4.90%,15.60%,"(36.285689400000003, -115.2809099)"
Boulder,30,1908,59.20%,40.80%,3.20%,7.70%,1.90%,2.10%,6.70%,27.30%,9.20%,14%,4.30%,5.10%,11.40%,3.40%,3.70%,14.70%,66.50%,18.80%,48%,5.50%,5.90%,40.60%,95.70%,15.50%,75.20%,24.80%,"$57,163.00 ",1.10%,87.20%,4.20%,3.80%,4%,24.3,4.70%,33.20%,48.30%,13.80%,78.20%,4.30%,8.30%,1.90%,2.20%,3%,0%,2.10%,85.90%,14.10%,1.20%,1.20%,12.50%,0%,3.10%,56.40%,"(36.270725800000001, -115.2725956)"
Boulder,30,4206,49%,51%,9.50%,4.20%,5.50%,4.80%,5.70%,19.40%,19.20%,14.20%,7.30%,1.90%,4.10%,3.60%,0.70%,20.90%,70.60%,8.50%,46.90%,1.60%,26%,25.40%,95%,26.60%,76.30%,23.70%,"$69,368.00 ",11%,83.10%,4.60%,1.70%,9.80%,24.8,0.40%,29.60%,62.90%,7.10%,59.50%,11.60%,18.80%,2.80%,3.30%,0%,0%,4%,71.50%,28.50%,1.20%,0.80%,14.80%,3.80%,15.50%,36.60%,"(36.238155999999996, -115.3285631)"
Boulder,30,6968,45.80%,54.20%,11.10%,9.60%,4.60%,5%,6.70%,19.70%,17.30%,10.70%,4.70%,6.70%,3.10%,0.80%,0%,27.90%,68.10%,4%,41.40%,7.50%,15.30%,35.80%,94.50%,32.20%,51.40%,48.60%,"$62,749.00 ",13.60%,78.40%,11.30%,2.40%,6.20%,27.7,1%,40.80%,47.50%,10.70%,48.90%,13.70%,24.80%,0.20%,6.20%,0%,0%,6.10%,78.40%,21.60%,7.80%,3%,5.60%,2.60%,5.50%,28.10%,"(36.234398900000002, -115.3212501)"
Boulder,30,3504,46.20%,53.80%,6%,6.10%,7.30%,5.40%,3.80%,18.40%,16.30%,13.30%,6.60%,5.70%,7.60%,2.70%,0.90%,22.80%,66.10%,11.10%,48.30%,0.50%,17.30%,34%,89.50%,34.80%,68.10%,31.90%,"$69,971.00 ",2.20%,84.60%,13.70%,0.30%,1.40%,26.1,1.90%,40.80%,42.60%,14.70%,71.80%,3.90%,8.70%,0.60%,10.30%,0%,0%,4.60%,77.40%,22.60%,7.70%,0.60%,9.40%,0.70%,11.90%,12.50%,"(36.2236634, -115.32061539999999)"
