City,Tract,Population,Male,Female,Under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_59_years,60_to_64_years,65_to_74_years,75_to_84_years,85_years_and_over,Less_than_18_years,18_to_64_years,65_years_and_over,Married_Couple,Male_Head,Female_Head,Non_Family,High_School_Graduate,Bachelor_Degree_or_Higher,Own,Rent,Median_Household_Income,Persons_Below_Poverty_Level_Income,Drove_Alone,Carpooled,Public_Transportation,Work_at_Home,Mean_Travel_Time_(minutes),No_Vehicle,1_Vehicle,2_Vehicles,3+_Vehicles,White,Black,Hispanic,American_Indian,Asian,Pacific_Islander,Other,More_than_one_race,English_Only,Other_than_English,Speak_English_less_than_very_well,Spanish_-_Speak_English_less_than_very_well,With_a_Disability,Under_18_w/Disability,18_to_64_w/Disability,65_and_over_w/Disability,Location_1
Henderson,10,6815,50.50%,49.50%,6.40%,6.70%,8.60%,7.10%,7.70%,13.30%,14.30%,13.40%,8%,3%,5.40%,4.40%,1.70%,27%,61.50%,11.50%,47.50%,10.30%,21.10%,21.20%,71.80%,6.90%,70%,30%,"$47,936.00 ",17.90%,72%,15.50%,5.40%,3.50%,23.9,4%,39.40%,30.10%,26.40%,22.20%,14.20%,56%,3%,2%,0.60%,0.50%,1.50%,51.40%,48.60%,21.70%,21.10%,13.40%,2.90%,12.70%,41.90%,"(36.182170399999997, -115.19199759999999)"
Henderson,10,6068,53.30%,46.70%,6.70%,6.90%,9.10%,10.50%,7.70%,18.70%,15.50%,9.70%,6.50%,1.80%,3.30%,3.10%,0.40%,28.70%,64.40%,6.90%,30.40%,12.60%,25.50%,31.40%,66.60%,8.40%,37.80%,62.20%,"$35,976.00 ",18.40%,69.60%,17.40%,6.40%,2.40%,24.7,17.10%,40.20%,28.50%,14.20%,20.70%,6.80%,61.90%,0.70%,5.30%,0%,0.30%,4.30%,39%,61%,32.50%,29.10%,10.80%,2.50%,13%,24.60%,"(36.162790700000002, -115.2329507)"
Henderson,10,4091,51.60%,48.40%,6.80%,8.10%,5.60%,7.20%,10.50%,10.80%,14.30%,16.40%,6%,3.20%,4.70%,4.30%,2.20%,24.80%,64.10%,11.10%,45.50%,11.70%,19.10%,23.70%,63.10%,8%,67.40%,32.60%,"$42,232.00 ",23.40%,71.10%,21.80%,0.50%,1.70%,19.4,4.70%,26.30%,43.90%,25.20%,35.90%,3.50%,54%,0.20%,3.60%,0%,0%,2.80%,50%,50%,21.30%,18.30%,12.90%,1.10%,14.30%,31.10%,"(36.1667579, -115.19900459999999)"
Henderson,10,4642,49.40%,50.60%,4.30%,4.20%,3%,8.60%,6.70%,12.20%,7%,18.30%,5.60%,5.20%,13.10%,8.30%,3.50%,15.80%,59.30%,24.90%,33.20%,3.50%,3.10%,60.30%,77.10%,14.60%,39%,61%,"$31,826.00 ",17.70%,79.70%,7.20%,3.20%,5.20%,22.5,26.20%,38.50%,28.10%,7.10%,42.90%,11.30%,31.90%,3.60%,9.20%,0%,0%,1.10%,60.10%,39.90%,17.40%,14.80%,17.70%,2.80%,10.10%,45.30%,"(36.1700023, -115.2150358)"
Henderson,10,3875,50.50%,49.50%,6.30%,6%,5.70%,6.50%,13%,10.70%,11%,12.80%,4.70%,3.40%,11.20%,6.20%,2.50%,20.10%,60%,19.90%,35.70%,10.10%,13%,41.20%,79.20%,5.80%,31.40%,68.60%,"$41,143.00 ",9.60%,64.10%,19%,5.70%,1.90%,23.3,15%,54.20%,19.50%,11.30%,36.60%,11.40%,40.70%,0%,6.30%,2.50%,0.20%,2.30%,60.50%,39.50%,19.70%,18%,18.60%,4.20%,14.30%,46.10%,"(36.1626507, -115.2149034)"
Henderson,10,3809,55.80%,44.20%,10.10%,10.70%,9%,6.80%,4.50%,12.90%,13.20%,11.20%,6.90%,5.60%,6.40%,2.40%,0.20%,35.10%,55.80%,9.10%,41.90%,17.90%,16.10%,24.20%,54.50%,4.20%,50%,50%,"$36,869.00 ",27.20%,65.80%,17.10%,10.50%,4.30%,25,16.40%,37.20%,29.20%,17.30%,23%,3.90%,72.20%,0%,1%,0%,0%,0%,40%,60%,34.30%,33.50%,20.30%,5.10%,23.90%,57.30%,"(36.182238300000002, -115.2097732)"
Henderson,10,4018,53%,47%,4.90%,5.60%,9.70%,4.20%,8.60%,11%,19.80%,16.10%,4.20%,3.70%,9.20%,1.70%,1.30%,22.40%,65.40%,12.20%,43.60%,8.80%,17.40%,30.20%,73.20%,14.40%,70.60%,29.40%,"$53,502.00 ",14.20%,71.90%,18.40%,4.10%,0.80%,22.8,6.50%,36.20%,36.30%,21%,36.90%,6.80%,39.10%,4.20%,6.40%,1.90%,0%,4.70%,54.50%,45.50%,21.70%,18.80%,13.10%,1.90%,12%,39.80%,"(36.177369599999999, -115.21698840000001)"
Henderson,10,4772,49.90%,50.10%,8.60%,10.50%,5.50%,3.60%,2.80%,19.80%,13.90%,12.40%,2.60%,5.40%,7.80%,6.20%,0.90%,27.40%,57.70%,14.90%,40.50%,14.20%,12.40%,32.90%,69.40%,9.20%,43.30%,56.70%,"$29,602.00 ",36.10%,75.80%,15.50%,7.20%,0.70%,28.5,12.40%,40.70%,28.40%,18.50%,10.10%,36.40%,47%,0%,3.80%,0%,0.50%,2.10%,55.40%,44.60%,21.90%,21.60%,13.70%,7.50%,4.60%,60.10%,"(36.182331099999999, -115.1694498)"
Henderson,10,3934,47.70%,52.30%,8.30%,4.50%,5.80%,7.80%,7.10%,15.40%,12.80%,12.90%,5.70%,7.20%,8.80%,2.30%,1.40%,23%,64.40%,12.60%,25.60%,6.60%,16.60%,51.20%,73.90%,17.20%,28.70%,71.30%,"$36,276.00 ",27.10%,68.90%,13.70%,7.10%,1.20%,19.8,18.30%,48.10%,26.40%,7.10%,33.60%,15%,40.70%,1.20%,6.80%,0%,0.60%,2.20%,55.70%,44.30%,20.80%,15%,11.40%,0.30%,10.20%,43.50%,"(36.167402000000003, -115.1668323)"
Henderson,10,802,48.90%,51.10%,5.10%,2.60%,6.60%,7.20%,0%,5.90%,15.80%,10.90%,2.80%,7.90%,18.60%,7.30%,9.30%,16.70%,48.10%,35.20%,42.50%,9.40%,11.50%,36.50%,78.50%,20.80%,72.70%,27.30%,"$65,268.00 ",14%,76.20%,21.80%,0%,2.10%,20.5,8.90%,27.60%,43.80%,19.70%,62.70%,7.80%,17.40%,1.30%,8.50%,0.60%,0%,1.70%,75.70%,24.30%,6.50%,1.20%,21.40%,0%,14.40%,43%,"(36.152486099999997, -115.1667996)"
Henderson,10,3017,53.30%,46.70%,6%,2.90%,1.40%,11.70%,8%,9.30%,11.50%,19.70%,7.70%,8.10%,9.60%,3.50%,0.60%,16.20%,70.10%,13.70%,17.10%,11.90%,23.80%,47.20%,68.50%,5.50%,42.10%,57.90%,"$23,813.00 ",42.20%,65.60%,9.80%,14.60%,4.50%,22.5,18.30%,50.80%,18.30%,12.60%,11.10%,59.90%,25%,0%,0.60%,0.30%,0.50%,2.50%,80.90%,19.10%,11.60%,10.70%,19.40%,5.60%,18.40%,41.30%,"(36.177792199999999, -115.15118940000001)"
Henderson,10,4695,46%,54%,9.60%,10.10%,11.50%,12.20%,8.80%,7.30%,13.50%,11.30%,5.70%,2.10%,4.80%,2.60%,0.60%,38.20%,53.80%,8%,18.90%,7.60%,43.40%,30.10%,71.70%,2.60%,32.10%,67.90%,"$17,631.00 ",61.30%,81.90%,6.80%,5.50%,1.40%,21.1,23.80%,48.20%,17.30%,10.70%,2.50%,64%,28%,0%,1.50%,1.70%,0.40%,1.90%,67.90%,32.10%,14.10%,11.50%,18.50%,6.30%,22.60%,48.80%,"(36.188018599999999, -115.1588665)"
Henderson,10,2446,68.10%,31.90%,0.30%,0%,2.40%,7.90%,9.20%,7.70%,9.50%,20.70%,15.50%,15.20%,6.30%,2.10%,3.10%,4.20%,84.30%,11.50%,15.50%,1.50%,13.10%,69.90%,74.10%,5.10%,13.10%,86.90%,"$17,147.00 ",52.40%,44.10%,13.10%,18.50%,10.70%,24.7,53.60%,26.80%,7.10%,12.60%,38.40%,22.60%,21.50%,2.70%,8.70%,0.10%,0%,5.90%,68.90%,31.10%,17.70%,11.40%,34.60%,0%,33.20%,57%,"(36.182048500000001, -115.1381942)"
Henderson,10,3328,54.90%,45.10%,8.40%,8.50%,10.10%,5.30%,4.80%,13.10%,20.10%,11.90%,8.10%,4.20%,3.10%,2%,0.40%,30.70%,63.80%,5.50%,33.10%,6.70%,16.70%,43.40%,50.20%,7.40%,6.90%,93.10%,"$21,830.00 ",52.50%,67.70%,18.30%,14%,0%,26.3,40.50%,37.40%,17.70%,4.40%,16.20%,10.60%,65.60%,0.30%,7.10%,0%,0%,0.30%,33.90%,66.10%,44.50%,43.20%,16.10%,4.30%,19.10%,47.70%,"(36.180926599999999, -115.12997799999999)"
Henderson,10,2642,58.70%,41.30%,1.30%,4.70%,7.30%,7.50%,5.30%,11.90%,9.90%,11.60%,13.50%,8.30%,12.60%,3.90%,2.20%,17.70%,63.60%,18.70%,20.30%,4.70%,11.90%,63.10%,67.60%,2.70%,10.40%,89.60%,"$17,987.00 ",38.30%,66%,8.50%,16.90%,0%,23.9,44.20%,38.80%,12.70%,4.30%,30.60%,24.20%,39.80%,0.90%,3.60%,0%,0%,1%,62.30%,37.70%,22.20%,21%,20.70%,12.90%,21.10%,26.50%,"(36.1708341, -115.1299149)"
Henderson,10,5116,47.90%,52.10%,10.80%,7.40%,8.10%,10.20%,10.50%,14.50%,13.30%,9.60%,3.70%,4.70%,4.20%,1.20%,1.70%,33.10%,59.80%,7.10%,48.20%,9.30%,18.50%,24%,49.70%,3.90%,51%,49%,"$41,875.00 ",22.90%,71.90%,17.90%,4.80%,0.10%,21.3,13.40%,27.60%,34.30%,24.60%,30.60%,24.20%,39.80%,0.90%,3.60%,0%,0%,1%,26.60%,73.40%,32%,31.40%,10.10%,2.10%,10.80%,42.40%,"(36.180417800000001, -115.12030059999999)"
Henderson,10,4079,51.40%,48.60%,7.50%,10.50%,6.80%,8.10%,8.20%,12.30%,10%,10.60%,5.50%,7%,8.40%,4.10%,1%,28.60%,58%,13.40%,47.20%,5.80%,23.40%,23.60%,65.30%,4.90%,60.20%,39.80%,"$40,820.00 ",28.60%,74.60%,10.10%,6.60%,4%,29,3.70%,40.80%,41.50%,13.90%,27.90%,7.40%,61.90%,0%,2.70%,0%,0%,0%,39.40%,60.60%,31.80%,30.50%,14.10%,5.80%,11.90%,41.10%,"(36.184844900000002, -115.0712071)"
Henderson,10,6517,52.70%,47.30%,9.60%,10.10%,7.50%,12.40%,6.70%,15.70%,10.30%,11.30%,5.40%,2.90%,4.60%,2.10%,1.30%,36.20%,55.70%,8.10%,36%,15.90%,19.80%,28.30%,62.50%,4.10%,25.10%,74.90%,"$29,083.00 ",37.30%,63.90%,17.90%,9.20%,0%,31.7,17.30%,45.50%,30.10%,7.10%,18.30%,17.10%,61.50%,0%,1.70%,0.20%,0%,1.30%,38.30%,61.70%,37.90%,36.90%,9%,2.80%,6.90%,48.90%,"(36.177251200000001, -115.0933558)"
Henderson,10,5256,51.30%,48.70%,7.50%,9.20%,9.50%,11.20%,6%,12.20%,16.30%,13.30%,4.30%,2.80%,6%,1.40%,0.20%,32.80%,59.50%,7.70%,47.40%,6.30%,29.40%,16.90%,52.40%,5%,53.30%,46.60%,"$40,516.00 ",21.20%,76.30%,13.70%,4.40%,0%,28.4,2.20%,41.90%,41.80%,14.10%,12.70%,9.10%,65.90%,0%,10.60%,0.60%,0%,1%,27.10%,72.90%,45.90%,38.10%,10.50%,7.40%,9.70%,30%,"(36.177452600000002, -115.07128160000001)"
Henderson,10,5143,54.80%,45.20%,10.70%,8.70%,8.70%,6.90%,8.10%,16%,12.60%,12.10%,4.30%,3.80%,4.40%,2.40%,1.30%,31.90%,60%,8.10%,43.40%,8.10%,23.10%,25.50%,65.40%,7.90%,57.30%,42.70%,"$30,368.00 ",35.30%,78.20%,15.40%,1.10%,0.10%,23.8,12.70%,39.70%,27.50%,20.20%,17.60%,7%,64.20%,0.20%,6.50%,0%,0.20%,4.30%,41.30%,58.70%,29.40%,26.20%,13.60%,1.50%,14.40%,56.70%,"(36.169865199999997, -115.0930999)"
Henderson,10,5196,49.30%,50.70%,8.70%,10.20%,8%,9.20%,11.10%,15.90%,14.80%,6.60%,4.50%,3.30%,5.60%,1.40%,0.60%,33.10%,59.30%,7.60%,45.30%,7.70%,18.10%,28.90%,59.40%,9.30%,37.10%,62.90%,"$35,375.00 ",20.90%,72.60%,16.80%,4.80%,1.30%,26.1,12.20%,41.80%,31.60%,14.40%,13.10%,7.20%,72.20%,0%,6.50%,0.10%,0%,0.90%,25.10%,74.90%,47.40%,44.20%,9.60%,6.30%,7.80%,38.20%,"(36.170082600000001, -115.071218)"
Henderson,10,5659,51.90%,48.10%,8.40%,8%,7.30%,9%,11.20%,13.10%,14.30%,12.70%,4.20%,2.30%,5.40%,2.50%,1.80%,29.70%,60.70%,9.60%,33.40%,9.60%,21.70%,35.30%,61%,11.20%,38.80%,61.20%,"$30,176.00 ",24.70%,65.80%,22.90%,9.20%,0%,25.5,14.20%,41.90%,27.10%,16.80%,21.40%,9.80%,63.70%,0%,3.30%,0.20%,0%,1.70%,43.10%,56.90%,31.10%,30.90%,12.70%,1.80%,12.90%,44.80%,"(36.162528799999997, -115.0929366)"
Henderson,10,5112,53.50%,46.50%,10.70%,9.40%,7%,9.40%,9.80%,12.40%,19.70%,12.70%,2.40%,2.20%,2%,2.10%,0.20%,33.40%,62.20%,4.40%,46.60%,11.30%,25.20%,16.90%,47.30%,4.20%,54%,46%,"$41,842.00 ",33%,66.70%,10.50%,7%,2.40%,27.6,11.20%,33%,43.90%,11.90%,12.80%,4.70%,75.80%,0%,5.10%,0%,0%,1.70%,25.30%,74.70%,46.20%,41.80%,9.70%,8.10%,8.90%,33.60%,"(36.162719600000003, -115.0712314)"
Henderson,10,1870,46.20%,53.80%,5.90%,12.90%,6.20%,8.80%,12.40%,13.30%,17.70%,9.20%,2.40%,6.40%,2.10%,1.70%,0.90%,32.70%,62.60%,4.70%,52.20%,0.60%,29%,18.10%,36.80%,3.60%,54.60%,45.40%,"$29,442.00 ",23.10%,82%,10.90%,2.50%,2.80%,22.9,7.90%,45.40%,34.30%,12.40%,12%,0%,82.20%,0%,2.30%,0%,0.40%,3.10%,18%,82%,32.40%,30.60%,13.80%,3.60%,16.90%,44.30%,"(36.1708049, -115.1205066)"
Henderson,10,4393,56.60%,43.40%,9.70%,11.10%,10.60%,5.80%,5.50%,20.80%,11.10%,14%,2.80%,4%,4.40%,0.20%,0%,34.40%,61%,4.60%,26.50%,17.90%,17.70%,38%,50%,6.90%,21.50%,78.50%,"$21,156.00 ",43.10%,42.90%,30.70%,11%,0.40%,32.9,39.60%,38.10%,14%,8.40%,13.30%,7.90%,71.50%,0%,0.90%,0%,5.80%,0.60%,29.10%,70.90%,42.40%,41.20%,9.50%,2%,14.10%,4.30%,"(36.163305800000003, -115.1205327)"
Henderson,10,3153,53.10%,46.90%,9.70%,9.50%,7.60%,9.40%,7.90%,9.70%,16.70%,11.80%,5.20%,4.20%,3%,3.80%,1.70%,32.80%,58.70%,8.50%,31.80%,8.50%,17.80%,42%,40.90%,5.30%,12.70%,87.30%,"$18,570.00 ",47.70%,57.40%,17.70%,12.30%,2.30%,29.8,34%,45.50%,14.50%,6%,13.10%,7.60%,74.50%,0%,4.30%,0%,0%,0.40%,21.10%,78.90%,51.30%,48.20%,10.10%,3%,7.10%,58.60%,"(36.170702200000001, -115.1108816)"
Henderson,10,2168,57.40%,42.60%,16.40%,10.90%,6.80%,9.80%,5.20%,19%,9.10%,16.70%,2.60%,0.30%,2.10%,1.20%,0%,43.40%,53.30%,3.30%,16.60%,18.40%,17.40%,47.70%,64.20%,4.50%,0.40%,99.60%,"$20,569.00 ",45.90%,66.60%,19.20%,12.80%,0%,30.4,40.90%,46.80%,9%,3.20%,11.20%,29.70%,56.60%,0%,0.70%,0.60%,0%,1.10%,44.60%,55.40%,31.30%,31.30%,6.90%,0%,9.90%,49.30%,"(36.163192799999997, -115.1106924)"
Henderson,10,2345,53.10%,46.90%,5.90%,13.90%,14.50%,7.80%,7.20%,9.80%,16.60%,12.80%,1%,0.70%,7.40%,2.40%,0.10%,41.80%,48.30%,9.90%,27.60%,16.90%,15.50%,40.10%,42%,3.40%,21.30%,78.70%,"$22,708.00 ",47.80%,56.80%,16.90%,5.20%,0%,23.7,38%,22.70%,27.30%,12%,11.80%,5.90%,76.80%,0%,2.30%,0%,0%,3.20%,23.90%,76.10%,40.80%,40.30%,6.10%,0%,8.60%,19.80%,"(36.177326499999999, -115.1111878)"
Henderson,10,2547,47.80%,52.20%,7.20%,3.90%,7.40%,10.50%,7.70%,11.90%,19.70%,12%,8%,3%,6.50%,2%,0.20%,23.50%,67.80%,8.70%,39.40%,8.40%,21.10%,31.10%,51.40%,4.20%,40.10%,59.90%,"$31,262.00 ",25.50%,79.30%,12.10%,6.80%,0%,27.6,21.10%,28.10%,34.10%,16.70%,8.90%,11.60%,77.40%,0%,0.60%,0%,0%,1.60%,31.30%,68.70%,36.40%,36.30%,13.60%,2.20%,14%,42%,"(36.184770800000003, -115.1116581)"
Henderson,10,2574,54%,46%,11.10%,10.20%,5.30%,10.30%,7.50%,16.50%,15.10%,8.40%,5.30%,7.40%,0.90%,1.50%,0.50%,33.40%,63.70%,2.90%,52.50%,16.40%,18.50%,12.70%,51.50%,3.70%,55%,45%,"$44,688.00 ",22.50%,62%,24.90%,8.30%,0.80%,32.9,11.50%,44.50%,24.50%,19.50%,12.40%,3.10%,80.90%,0%,1.70%,1.30%,0%,0.70%,22.10%,77.90%,42.80%,42.80%,10.90%,2%,13.30%,61.10%,"(36.184588599999998, -115.102762)"
Henderson,10,4020,53.80%,46.20%,10.40%,10.30%,9.80%,9.40%,5.90%,18%,15.10%,10.70%,1.40%,0.80%,6.80%,1.20%,0%,36%,56%,8%,44.10%,14.30%,28.60%,13%,47.80%,8.30%,49.40%,50.60%,"$43,321.00 ",32.40%,76.60%,16.50%,4%,1.90%,25.6,5.80%,23.30%,50.80%,20.10%,11.40%,4.40%,82%,0%,2.10%,0%,0%,0%,18.70%,81.30%,50.60%,50.30%,9.60%,8.10%,5.10%,47.70%,"(36.183760900000003, -115.0921158)"
Henderson,10,3743,55.20%,44.80%,8.30%,10%,6.70%,10.20%,15.10%,14.50%,14.80%,9.90%,5.70%,2.40%,0.80%,1.60%,0.10%,30.90%,66.60%,2.50%,44.90%,1%,21.90%,32.20%,60.60%,1.20%,27.10%,72.90%,"$39,659.00 ",33.60%,75.20%,16.80%,4.50%,0.50%,27.5,11.70%,43.50%,29.20%,15.60%,8.30%,10.40%,76.80%,0.60%,2.20%,0%,0.20%,1.60%,23.60%,76.40%,47.10%,45.10%,7.30%,0%,9%,52.20%,"(36.185751099999997, -115.0852041)"
Henderson,10,2918,53%,47%,5.10%,5.30%,3.10%,11.10%,6.80%,12.10%,15.40%,18.60%,5.50%,7.50%,5.90%,2.90%,0.60%,20.80%,69.80%,9.40%,19.90%,2%,16.20%,61.90%,64.20%,5.50%,15.30%,84.70%,"$19,593.00 ",46.40%,50.20%,20.40%,16.20%,1.50%,30.2,45.30%,31.70%,18.60%,4.40%,34.70%,18.20%,42%,1.10%,2.80%,0%,0%,1.20%,63.30%,36.70%,15.70%,13.80%,21.40%,5.70%,21.60%,54.70%,"(36.162429299999999, -115.1292682)"
Henderson,10,2123,79.30%,20.70%,0.80%,0%,0%,4%,17.90%,26.30%,18.50%,16.50%,5.90%,4%,5.10%,0.90%,0.10%,1.40%,92.40%,6.20%,5.50%,0%,0%,94.50%,69.80%,10.20%,4.10%,95.90%,"$16,818.00 ",32.30%,38.50%,3.60%,28.50%,0.60%,29.8,62.10%,31.40%,4.60%,1.90%,40.70%,29.50%,21.10%,0.20%,3.30%,0.10%,0.10%,5%,81.40%,18.60%,8.30%,7.40%,31.40%,0%,25.90%,58.10%,"(36.1701294, -115.14118689999999)"
Henderson,10,2206,79.30%,20.70%,0.80%,0%,0%,4%,17.90%,26.30%,18.50%,16.50%,5.90%,4%,5.10%,0.90%,0.10%,1.40%,92.40%,6.20%,8.40%,5.80%,9.40%,76.30%,74.50%,11.50%,5%,95%,"$14,730.00 ",44.20%,46.40%,14.10%,23.90%,0%,27.7,54.10%,38.90%,3.50%,3.50%,45.50%,12.60%,34.30%,1.40%,4.50%,0%,0%,1.70%,67.10%,32.90%,16.70%,14.50%,30.30%,14.20%,26.60%,50.80%,"(36.162423599999997, -115.1389518)"
Henderson,10,1178,68.20%,31.80%,1.80%,0%,0%,0%,3.60%,13.60%,25.30%,24%,8.60%,11.50%,8.90%,2.60%,0%,1.80%,86.60%,11.60%,9.40%,5.10%,5.50%,80%,87.30%,25.40%,11.80%,88.20%,"$21,348.00 ",28.70%,34.70%,1%,12.80%,7.40%,20.3,59.50%,33.50%,7%,0%,60.10%,18.70%,7.50%,0%,13.70%,0%,0%,0%,81.30%,18.70%,8%,2.50%,21.90%,0%,21.60%,27.70%,"(36.162308600000003, -115.1493152)"
Henderson,20,3444,55%,45%,8%,4.60%,3.40%,5.20%,8.90%,16.60%,14.20%,15.10%,4.20%,5.70%,8.40%,4.20%,1.60%,18.40%,67.40%,14.20%,35.40%,9.60%,15%,40%,79.30%,17.90%,47.80%,52.20%,"$42,311.00 ",14.20%,74.60%,9.20%,7.70%,1.30%,22.9,10.80%,34.40%,40.50%,14.30%,42.20%,11.10%,37.70%,0%,5.30%,0.90%,0%,2.80%,58.20%,41.80%,19.20%,13.80%,18.40%,16.70%,14.30%,40%,"(36.151847699999998, -115.2165408)"
Henderson,20,6737,50.80%,49.20%,4.70%,3.10%,3.50%,4.90%,7.40%,18.40%,8.10%,11.80%,4.50%,5.10%,17.10%,8.20%,3.20%,14.70%,56.70%,28.60%,28.70%,5.40%,11.70%,54.30%,78.40%,11.80%,33.40%,66.60%,"$31,103.00 ",20.20%,66.20%,13.10%,10.50%,5.40%,22.5,18.10%,49.50%,23.70%,8.70%,45.80%,6%,39.50%,0.20%,4.70%,0%,0%,3.80%,59.50%,40.50%,23.50%,18.80%,19%,3.10%,11.80%,41.70%,"(36.152054300000003, -115.1979752)"
Henderson,20,1603,44.80%,55.20%,5.70%,6.50%,4.20%,9.50%,6.80%,8.10%,9.50%,14.70%,10%,5.20%,11.70%,6.80%,1.30%,20.90%,59.30%,19.80%,56.30%,3.50%,11.40%,28.80%,98.20%,46.90%,84.50%,15.50%,"$111,750.00 ",10.80%,76.60%,9.70%,0.50%,10.90%,15.7,5.20%,20.50%,37.30%,37.10%,71.50%,13.80%,8.40%,0%,3.70%,0%,0%,2.60%,87.30%,12.70%,2.40%,0.70%,8.30%,0%,9.10%,14.80%,"(36.1672753, -115.1827722)"
Henderson,20,3935,52.50%,47.50%,4.50%,4.90%,6.10%,7.60%,2.80%,9.60%,13.20%,18.10%,7.60%,6.30%,12.10%,6.50%,0.80%,18.30%,62.40%,19.30%,41.30%,5.20%,9.70%,43.80%,92.20%,33.70%,72.60%,27.40%,"$65,757.00 ",8.80%,77.90%,7%,3.80%,6.30%,17.1,10.10%,31.50%,32.80%,25.70%,71.50%,6.70%,18.40%,0%,2.80%,0%,0%,0.70%,78.20%,21.80%,9.90%,7.60%,15.50%,0%,14.40%,33.60%,"(36.1511371, -115.1809062)"
Henderson,20,3612,65.50%,34.50%,4.60%,6.20%,3.20%,3.30%,5.60%,22.90%,16.10%,15.40%,5%,9.20%,6.40%,2%,0%,14.90%,76.70%,8.40%,21.90%,7.40%,7%,63.70%,60.80%,18.30%,7%,93%,"$17,441.00 ",42.40%,35.20%,16.80%,20.10%,6.40%,25.2,49.40%,37.40%,12.30%,0.80%,20.40%,15.40%,47.70%,0.70%,11.30%,0%,0%,4.60%,36.50%,63.50%,42.50%,32.60%,19.30%,6.90%,19.40%,39.70%,"(36.151331300000002, -115.1568637)"
Henderson,20,4464,51.80%,48.20%,7.40%,5.50%,4%,6.60%,6.90%,12.90%,13.90%,15.20%,8.30%,5.90%,7.30%,3.40%,2.80%,21.50%,65%,13.50%,34%,4.10%,12.80%,49.10%,81.10%,13.70%,42.90%,57.10%,"$41,875.00 ",19.90%,62.20%,5.20%,18.60%,2.60%,26.9,32.30%,26.50%,34.60%,6.60%,43.30%,7.50%,37.30%,0.40%,9.60%,0%,0%,1.90%,55%,45%,22.90%,16.50%,17.50%,7.80%,15.70%,41.50%,"(36.149917799999997, -115.1465291)"
Henderson,20,4530,52.70%,47.30%,5.30%,7.40%,7.70%,7%,8.80%,9.40%,16.90%,17.50%,6.10%,3.20%,5.70%,4.60%,0.50%,25.60%,63.60%,10.80%,39.90%,7.90%,13.50%,38.70%,67.70%,12.10%,62.80%,37.20%,"$42,458.00 ",15.60%,72.80%,10.80%,3.90%,5.50%,20.6,10%,37.40%,29.30%,23.30%,27.70%,0.50%,63.90%,0.90%,5.10%,0.50%,0%,1.50%,33.40%,66.60%,28%,25%,15.90%,9.80%,13.70%,42.60%,"(36.151923799999999, -115.1341532)"
Henderson,20,3481,53%,47%,2.60%,5.20%,7.70%,5.80%,7.50%,9.90%,12.40%,18.50%,7.10%,5.20%,10%,6.10%,2.10%,19.80%,62%,18.20%,19.60%,8.10%,8.60%,63.70%,53.80%,5%,33.80%,66.20%,"$23,966.00 ",37.30%,67.40%,16.40%,10.10%,0%,22,32.70%,42.30%,17.80%,7.20%,34.90%,3%,55.10%,0.40%,5.60%,0%,0%,1.10%,40.60%,59.40%,36.80%,32.90%,14.50%,0%,12.20%,38%,"(36.155025899999998, -115.12005790000001)"
Henderson,20,4049,54.80%,45.20%,10.70%,5.90%,6.40%,7.60%,3.80%,16.90%,15.80%,15.70%,7.40%,1.60%,4.10%,3.40%,0.80%,28.90%,62.70%,8.40%,48.20%,15.30%,17.90%,18.60%,61.60%,11.60%,65.60%,34.40%,"$23,650.00 ",21.90%,74.10%,18.10%,3.20%,0%,23.6,6.40%,29.40%,41.10%,23.10%,17.80%,0.20%,74.50%,0.80%,5.80%,0%,0%,1%,34.10%,65.90%,31.10%,29.30%,12.60%,3.70%,15%,25.10%,"(36.147834799999998, -115.1157585)"
